,edgeid,coords
130,"(367878781, 367878778)","[(1.7070526, 41.3358987), (1.7070935, 41.3358491), (1.7071144, 41.3357973)]"
131,"(367878781, 367878812)","[(1.7070526, 41.3358987), (1.707041, 41.3360641), (1.7070443, 41.336173), (1.7072018, 41.3364847), (1.7072709, 41.3368509), (1.707415, 41.3374988), (1.707694, 41.3382823)]"
132,"(367878788, 312213243)","[(1.7065655, 41.3356244), (1.7063142, 41.3356341), (1.706157, 41.3355971), (1.7058457, 41.3354131), (1.7054291, 41.335172), (1.7050485, 41.3349638), (1.7043953, 41.3346925), (1.7040291, 41.3345826), (1.7036471, 41.334509)]"
133,"(367878788, 367878794)","[(1.7065655, 41.3356244), (1.7066318, 41.335576), (1.7066659, 41.3355591), (1.7067175, 41.335541), (1.7067612, 41.3355327), (1.7068137, 41.3355282), (1.7068776, 41.3355354)]"
134,"(367878788, 367878841)","[(1.7065655, 41.3356244), (1.7065416, 41.3356547), (1.7065235, 41.3356969), (1.7065158, 41.3357297), (1.7065154, 41.3357695), (1.7065252, 41.3358049), (1.706537, 41.335841), (1.7065756, 41.3358921)]"
135,"(367878794, 367878858)",
136,"(367878794, 367878797)","[(1.7068776, 41.3355354), (1.7069341, 41.3355484), (1.7069763, 41.3355671), (1.707023, 41.3355943), (1.7070654, 41.3356249)]"
137,"(367878794, 367878788)","[(1.7068776, 41.3355354), (1.7068137, 41.3355282), (1.7067612, 41.3355327), (1.7067175, 41.335541), (1.7066659, 41.3355591), (1.7066318, 41.335576), (1.7065655, 41.3356244)]"
138,"(367878797, 367878858)",
139,"(367878797, 367878778)","[(1.7070654, 41.3356249), (1.7071017, 41.3356769), (1.7071177, 41.3357301), (1.7071144, 41.3357973)]"
140,"(367878797, 367878794)","[(1.7070654, 41.3356249), (1.707023, 41.3355943), (1.7069763, 41.3355671), (1.7069341, 41.3355484), (1.7068776, 41.3355354)]"
141,"(367878812, 312213099)",
142,"(367878812, 367878781)","[(1.707694, 41.3382823), (1.707415, 41.3374988), (1.7072709, 41.3368509), (1.7072018, 41.3364847), (1.7070443, 41.336173), (1.707041, 41.3360641), (1.7070526, 41.3358987)]"
143,"(367878812, 312213243)","[(1.707694, 41.3382823), (1.7073667, 41.3376317), (1.7070679, 41.337099), (1.7067781, 41.3366795), (1.7065434, 41.3364049), (1.7062739, 41.3361198), (1.7058762, 41.3357612), (1.7054866, 41.3354562), (1.7051393, 41.3352252), (1.7044844, 41.3348619), (1.7036471, 41.334509)]"
144,"(367878841, 5476720569)",
145,"(367878841, 367878788)","[(1.7065756, 41.3358921), (1.706537, 41.335841), (1.7065252, 41.3358049), (1.7065154, 41.3357695), (1.7065158, 41.3357297), (1.7065235, 41.3356969), (1.7065416, 41.3356547), (1.7065655, 41.3356244)]"
146,"(367878841, 1540673806)","[(1.7065756, 41.3358921), (1.7066302, 41.3359341), (1.7066974, 41.3359642), (1.7067912, 41.3359806)]"
147,"(367878858, 367878794)",
148,"(367878858, 367878797)",
149,"(367878858, 2203382766)","[(1.7071101, 41.3354193), (1.7080988, 41.334251), (1.7085903, 41.3336893)]"
150,"(367878876, 367878887)","[(1.7092707, 41.333012), (1.7095258, 41.3328394), (1.7098816, 41.3326317), (1.7103556, 41.3323698), (1.7107033, 41.3321803), (1.7113351, 41.3318264), (1.7113931, 41.3317927), (1.7115399, 41.3317074)]"
151,"(367878876, 9575803604)","[(1.7092707, 41.333012), (1.7091549, 41.3331506), (1.7091421, 41.33318), (1.7091401, 41.3332135)]"
152,"(367878876, 1140065571)","[(1.7092707, 41.333012), (1.7090452, 41.3331028), (1.7089731, 41.3331206), (1.7089198, 41.3331304)]"
153,"(367878887, 1909170953)","[(1.7115399, 41.3317074), (1.711569, 41.3317283), (1.7116354, 41.3317555), (1.711709, 41.3317686), (1.7117846, 41.3317667), (1.7118569, 41.3317499), (1.7119207, 41.3317194)]"
154,"(367878887, 367878876)","[(1.7115399, 41.3317074), (1.7113931, 41.3317927), (1.7113351, 41.3318264), (1.7107033, 41.3321803), (1.7103556, 41.3323698), (1.7098816, 41.3326317), (1.7095258, 41.3328394), (1.7092707, 41.333012)]"
155,"(367878887, 2710498389)","[(1.7115399, 41.3317074), (1.7115144, 41.331689), (1.7114755, 41.3316403), (1.7114524, 41.3315796), (1.7114528, 41.3315158)]"
156,"(367878914, 1909170942)","[(1.7129135, 41.330692), (1.7129882, 41.3307754), (1.713102, 41.330915), (1.7132678, 41.3311183), (1.7134183, 41.3313015), (1.713558, 41.3314792), (1.7139692, 41.3321067)]"
157,"(369254643, 1653465722)","[(1.7054584, 41.3509319), (1.7053102, 41.3509257), (1.705082, 41.351048), (1.704462, 41.3513797)]"
158,"(369254643, 369254658)","[(1.7054584, 41.3509319), (1.7054602, 41.3509038), (1.7054713, 41.3508769), (1.7054912, 41.350853)]"
159,"(369254643, 312212829)","[(1.7054584, 41.3509319), (1.7054714, 41.3509693), (1.7055008, 41.351001), (1.7055429, 41.3510233), (1.7055926, 41.3510333)]"
160,"(369254658, 1653465662)",
